dim, error_rate, process_time
10, 0.075800, 3.948580503463745
20, 0.030900, 11.267951011657715
30, 0.025900, 21.70218515396118
35, 0.024900, 26.73798704147339
40, 0.025600, 31.803303718566895
45, 0.025400, 39.305091857910156
50, 0.025000, 43.095059871673584
55, 0.024400, 49.60872459411621
60, 0.023800, 55.27840042114258
65, 0.025500, 58.71218299865723
70, 0.025800, 65.24443817138672
75, 0.025300, 70.56556558609009
80, 0.025700, 74.43339514732361
85, 0.026900, 79.98645877838135
90, 0.026500, 81.61983060836792
95, 0.026400, 87.1730797290802
100, 0.026600, 92.8285493850708
200, 0.028800, 154.66282486915588
500, 0.029400, 341.6628952026367
